Dataset,Classifier,Run,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC,NPofB20
avro_dataset.csv,AttributeSelectedClassifier,0,5,99.8447,1.0000,0.9524,0.9756,0.9748,0.9912,1.0000
avro_dataset.csv,AttributeSelectedClassifier,0,6,99.8447,1.0000,0.9545,0.9767,0.9759,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,0,3,99.8447,0.9545,1.0000,0.9767,0.9759,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,0,1,99.3789,1.0000,0.8095,0.8947,0.8916,0.9566,0.9524
avro_dataset.csv,AttributeSelectedClassifier,0,9,99.6890,1.0000,0.9048,0.9500,0.9484,0.9446,0.9524
avro_dataset.csv,AttributeSelectedClassifier,0,7,99.3789,1.0000,0.8182,0.9000,0.8968,0.9325,0.9545
avro_dataset.csv,AttributeSelectedClassifier,0,8,99.5334,1.0000,0.8571,0.9231,0.9207,0.9532,0.9524
avro_dataset.csv,AttributeSelectedClassifier,0,0,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,0,2,99.8447,1.0000,0.9524,0.9756,0.9748,0.9990,1.0000
avro_dataset.csv,AttributeSelectedClassifier,1,1,99.6894,1.0000,0.9048,0.9500,0.9484,0.9902,1.0000
avro_dataset.csv,AttributeSelectedClassifier,0,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9595,0.9524
avro_dataset.csv,AttributeSelectedClassifier,1,0,99.2236,0.9444,0.8095,0.8718,0.8678,0.9663,0.9524
avro_dataset.csv,AttributeSelectedClassifier,1,2,99.6894,1.0000,0.9048,0.9500,0.9484,0.9985,1.0000
avro_dataset.csv,AttributeSelectedClassifier,1,5,99.5342,1.0000,0.8571,0.9231,0.9207,0.9906,0.9524
avro_dataset.csv,AttributeSelectedClassifier,1,9,99.6890,1.0000,0.9048,0.9500,0.9484,0.9690,0.9524
avro_dataset.csv,AttributeSelectedClassifier,1,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9426,0.9524
avro_dataset.csv,AttributeSelectedClassifier,1,7,99.8447,1.0000,0.9545,0.9767,0.9759,0.9837,1.0000
