"ReleaseId","Path","Class","Buggy","CodeSmells","NSmells","Touches","TotalTouches","IssueTouches","TotalIssueTouches","Authors","TotalAuthors","AddedLines","DeletedLines","Churn","TotalChurn","prevBuggy","AgeInReleases"
"release-1.3.2","/lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java/","org.apache.avro.io.ResolvingDecoder","yes","0","3","11","11","11","11","2","2","105","80","185","185","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/file/DeflateCodec.java/","org.apache.avro.file.DeflateCodec.Option","yes","0","0","5","5","5","5","2","2","184","39","223","223","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.FixedSchema","yes","4","5","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.RecordSchema","yes","6","8","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.MapSchema","yes","4","5","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/reflect/ReflectData.java/","org.apache.avro.reflect.ReflectData","yes","3","6","5","5","5","5","2","2","40","27","67","67","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.DoubleSchema","yes","0","0","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.LongSchema","yes","0","0","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.SeenPair","yes","2","4","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/tool/JsonToBinaryFragmentTool.java/","org.apache.avro.tool.JsonToBinaryFragmentTool","yes","2","4","1","1","1","1","1","1","0","0","0","0","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/file/DeflateCodec.java/","org.apache.avro.file.DeflateCodec","yes","0","1","5","5","5","5","2","2","184","39","223","223","no","1"
