"Project","ReleaseId","Path","Class","isLongMethod","isGodClass","isFeatureEnvy","isDuplicatedCode","CodeSmells","NSmells","Buggy"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/ipc/ByteBufferOutputStream.java/","org.apache.avro.ipc.ByteBufferOutputStream","0","0","1","0","4","5","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java/","org.apache.avro.io.ResolvingDecoder","0","1","1","1","0","3","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/file/DeflateCodec.java/","org.apache.avro.file.DeflateCodec.Option","0","0","0","0","0","0","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/ipc/LocalTransceiver.java/","org.apache.avro.ipc.LocalTransceiver","0","0","1","0","0","1","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/generic/GenericContainer.java/","org.apache.avro.generic.GenericContainer","0","0","0","0","0","0","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/ipc/ResponderServlet.java/","org.apache.avro.ipc.ResponderServlet","0","0","1","0","0","1","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/","org.apache.avro.io.parsing.Symbol.EnumLabelsAction","0","0","1","0","0","1","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/io/Decoder.java/","org.apache.avro.io.Decoder","0","1","1","0","0","2","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/generic/GenericDatumWriter.java/","org.apache.avro.generic.GenericDatumWriter","0","1","1","0","0","2","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/generic/GenericFixed.java/","org.apache.avro.generic.GenericFixed","0","0","0","0","0","0","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.FixedSchema","0","0","1","0","4","5","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/specific/SpecificData.java/","org.apache.avro.specific.SpecificData","1","1","1","0","1","4","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/ipc/stats/Histogram.java/","org.apache.avro.ipc.stats.Histogram.Entry","0","0","0","0","0","0","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.RecordSchema","0","1","1","0","6","8","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/specific/SpecificDatumWriter.java/","org.apache.avro.specific.SpecificDatumWriter","0","0","1","0","0","1","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/ipc/DatagramServer.java/","org.apache.avro.ipc.DatagramServer","0","0","1","0","2","3","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.MapSchema","0","0","1","0","4","5","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/","org.apache.avro.io.parsing.Symbol.Terminal","0","0","0","0","1","1","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/reflect/ReflectData.java/","org.apache.avro.reflect.ReflectData","1","1","1","0","3","6","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/io/BinaryData.java/","org.apache.avro.io.BinaryData","1","1","1","0","5","8","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.DoubleSchema","0","0","0","0","0","0","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.LongSchema","0","0","0","0","0","0","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/ipc/Server.java/","org.apache.avro.ipc.Server","0","0","0","0","0","0","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/","org.apache.avro.io.parsing.Symbol.Kind","0","0","0","0","0","0","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/SchemaParseException.java/","org.apache.avro.SchemaParseException","0","0","0","0","0","0","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/","org.apache.avro.io.parsing.Symbol","0","1","1","0","22","24","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/file/SeekableFileInput.java/","org.apache.avro.file.SeekableFileInput","0","0","1","0","0","1","no"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.SeenPair","0","1","1","0","2","4","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/tool/JsonToBinaryFragmentTool.java/","org.apache.avro.tool.JsonToBinaryFragmentTool","0","0","1","1","2","4","yes"
"avro","release-1.3.2","/lang/java/src/java/org/apache/avro/ipc/stats/Stopwatch.java/","org.apache.avro.ipc.stats.Stopwatch.Ticks","0","0","0","0","0","0","no"
