Project,Path,Method,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,Touches,prevCodeSmells,prevBuggy,Buggy
avro,/src/java/org/apache/avro/io/BinaryEncoder.java/,"public void writeFixed(byte[] bytes, int start, int len) throws IOException",release-1.0.0,4,2,1,0,0,5,0,5,5.0,5.0,11.60964047443681,0.0,0.0,0,0,1,1,0,0,2,0,no,no
avro,/src/java/org/apache/avro/io/ResolvingTable.java/,"private final int mkReaderUnionAction(Schema w, Schema r, Map<LitS, Integer> s)",release-1.0.0,12,11,2,1,3,17,6,27,20.0,33.0,142.62362713128297,2.3823529411764706,339.77981757746824,1,0,1,1,0,0,1,0,no,no
avro,/src/java/org/apache/avro/io/BinaryEncoder.java/,"public void startItem() throws IOException",release-1.0.0,3,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,2,0,no,no
avro,/src/java/org/apache/avro/io/ValidatingDecoder.java/,"protected int advance(int input) throws IOException",release-1.0.0,22,18,5,4,9,17,19,50,26.0,69.0,324.3303405517354,13.23529411764706,4292.607448478851,3,0,1,1,0,0,1,0,no,no
avro,/src/java/org/apache/avro/file/DataFileWriter.java/,"public synchronized void setMeta(String key, byte[] value)",release-1.0.0,3,2,1,0,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,0,1,0,0,5,0,no,no
avro,/src/java/org/apache/avro/io/Encoder.java/,"public abstract void writeMapEnd() throws IOException",release-1.0.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,2,0,no,no
avro,/src/java/org/apache/avro/ipc/SocketTransceiver.java/,"public synchronized List<ByteBuffer> readBuffers() throws IOException",release-1.0.0,20,19,5,4,1,15,1,28,16.0,29.0,116.0,0.9333333333333333,108.26666666666667,2,0,0,1,0,0,3,0,no,no
avro,/src/java/org/apache/avro/Protocol.java/,"private void parseName(JsonNode json)",release-1.0.0,6,5,2,1,3,7,3,9,10.0,12.0,39.863137138648355,1.9285714285714288,76.87890733882183,1,0,1,1,0,0,12,0,no,no
avro,/src/java/org/apache/avro/io/BlockingBinaryEncoder.java/,"private void expandStack()",release-1.0.0,8,6,2,1,4,6,5,13,10.0,18.0,59.794705707972525,4.333333333333333,259.11039140121426,1,0,1,1,0,0,1,0,no,no
avro,/src/java/org/apache/avro/specific/SpecificRecord.java/," void set(int field, Object value)",release-1.0.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,no,no
