Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,SmellDensity,Touches,TotalTouches,IssueTouches,TotalIssueTouches,Authors,TotalAuthors,AddedLines,DeletedLines,Churn,TotalChurn,prevCodeSmells,AgeInReleases,prevBuggy,Buggy
avro,/lang/java/src/java/org/apache/avro/ipc/ByteBufferOutputStream.java/,"org.apache.avro.ipc.ByteBufferOutputStream",release-1.3.2,61,39,10,3,6,22,11,86,28.0,97.0,466.31342743958754,11.727272727272727,5468.584739973345,1,0,0,1,0,4,5,0.0820,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java/,"org.apache.avro.io.ResolvingDecoder",release-1.3.2,189,105,31,20,4,37,21,150,41.0,171.0,916.1413927896923,8.108108108108109,7428.17345505156,6,0,1,1,1,0,3,0.0159,11,11,11,11,2,2,105,80,185,185,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/file/DeflateCodec.java/,"org.apache.avro.file.DeflateCodec.Option",release-1.3.2,12,4,2,0,1,1,1,2,2.0,3.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0.0000,5,5,5,5,2,2,184,39,223,223,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/LocalTransceiver.java/,"org.apache.avro.ipc.LocalTransceiver",release-1.3.2,28,10,5,0,1,4,1,5,5.0,6.0,13.931568569324174,0.625,8.707230355827608,0,0,0,1,0,0,1,0.0357,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/generic/GenericContainer.java/,"org.apache.avro.generic.GenericContainer",release-1.3.2,4,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/ResponderServlet.java/,"org.apache.avro.ipc.ResponderServlet",release-1.3.2,23,12,2,0,1,15,1,22,16.0,23.0,92.0,0.7333333333333333,67.46666666666667,0,0,0,1,0,0,1,0.0435,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/,"org.apache.avro.io.parsing.Symbol.EnumLabelsAction",release-1.3.2,22,14,6,3,5,10,5,20,15.0,25.0,97.67226489021297,5.0,488.3613244510649,3,0,0,1,0,0,1,0.0455,10,10,10,10,2,2,217,49,266,266,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/Decoder.java/,"org.apache.avro.io.Decoder",release-1.3.2,246,2,22,0,0,3,0,4,3.0,4.0,6.339850002884625,0.0,0.0,0,0,1,1,0,0,2,0.0081,2,2,2,2,1,1,8,1,9,9,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/generic/GenericDatumWriter.java/,"org.apache.avro.generic.GenericDatumWriter",release-1.3.2,163,94,37,2,2,81,5,188,83.0,193.0,1230.3826102499565,2.3209876543209877,2855.702848481381,1,0,1,1,0,0,2,0.0123,3,3,3,3,2,2,4,5,9,9,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/generic/GenericFixed.java/,"org.apache.avro.generic.GenericFixed",release-1.3.2,4,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.FixedSchema",release-1.3.2,26,25,9,4,6,26,9,43,32.0,52.0,260.0,4.961538461538462,1290.0,1,0,0,1,0,4,5,0.1923,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
