"ChronologicalIndex","ReleaseTag","NormalizedVersion","JiraReleaseDate","GitCommitDateUtc","SelectedForDataset"
"1","release-1.3.0","1.3.0","2010-02-26","2010-05-10T21:58:52.0000000Z","yes"
"2","release-1.3.1","1.3.1","2010-03-16","2010-05-10T21:58:52.0000000Z","yes"
"3","release-1.3.2","1.3.2","2010-03-31","2010-05-10T21:58:52.0000000Z","yes"
"4","release-1.0.0","1.0.0","2009-07-14","2010-05-10T21:58:52.0000000Z","yes"
"5","release-1.1.0","1.1.0","2009-09-15","2010-05-10T21:58:52.0000000Z","yes"
"6","release-1.2.0","1.2.0","2009-10-14","2010-05-10T21:58:52.0000000Z","yes"
"7","release-1.3.3","1.3.3","2010-06-07","2010-06-09T22:00:14.0000000Z","yes"
"8","release-1.4.0","1.4.0","2010-09-08","2010-09-08T18:29:00.0000000Z","yes"
"9","release-1.4.1","1.4.1","2010-10-13","2010-10-14T18:33:26.0000000Z","yes"
"10","release-1.5.0","1.5.0","2011-03-11","2011-03-12T00:18:38.0000000Z","yes"
"11","release-1.5.1","1.5.1","2011-05-03","2011-05-06T18:20:39.0000000Z","yes"
"12","release-1.5.2","1.5.2","2011-08-12","2011-08-12T19:42:08.0000000Z","yes"
"13","release-1.5.3","1.5.3","2011-08-30","2011-08-30T05:43:42.0000000Z","yes"
"14","release-1.5.4","1.5.4","2011-09-12","2011-09-11T20:52:07.0000000Z","yes"
"15","release-1.6.0","1.6.0","2011-11-01","2011-11-01T18:10:51.0000000Z","no"
"16","release-1.6.1","1.6.1","2011-11-14","2011-11-15T00:19:17.0000000Z","no"
"17","release-1.6.2","1.6.2","2012-02-14","2012-02-15T00:27:51.0000000Z","no"
"18","release-1.6.3","1.6.3","2012-03-19","2012-03-19T16:12:14.0000000Z","no"
"19","release-1.7.0","1.7.0","2012-06-11","2012-06-11T19:41:35.0000000Z","no"
"20","release-1.7.1","1.7.1","2012-07-16","2012-07-18T21:55:40.0000000Z","no"
"21","release-1.7.2","1.7.2","2012-09-24","2012-09-25T17:21:46.0000000Z","no"
"22","release-1.7.3","1.7.3","2012-12-06","2012-12-07T19:20:59.0000000Z","no"
"23","release-1.7.4","1.7.4","2013-02-26","2013-02-26T18:35:12.0000000Z","no"
"24","release-1.7.5","1.7.5","2013-08-19","2013-08-19T18:05:45.0000000Z","no"
"25","release-1.7.6","1.7.6","","2014-01-23T21:26:15.0000000Z","no"
"26","release-1.7.7","1.7.7","2014-07-24","2014-07-24T18:49:05.0000000Z","no"
"27","release-1.8.0","1.8.0","2016-01-29","2016-01-29T11:35:00.0000000Z","no"
"28","release-1.8.1","1.8.1","2016-05-20","2016-05-15T00:38:52.0000000Z","no"
"29","release-1.8.2","1.8.2","2017-05-14","2017-04-17T23:56:17.0000000Z","no"
"30","release-1.9.0","1.9.0","2019-05-14","2019-05-07T18:25:47.0000000Z","no"
"31","release-1.9.1","1.9.1","2019-09-02","2019-08-28T09:09:02.0000000Z","no"
"32","release-1.9.2","1.9.2","2020-02-12","2020-02-07T08:21:56.0000000Z","no"
"33","release-1.10.0","1.10.0","2020-06-29","2020-06-22T13:28:48.0000000Z","no"
"34","release-1.10.1","1.10.1","2020-12-04","2020-11-18T09:49:39.0000000Z","no"
"35","release-1.10.2","1.10.2","2021-03-15","2021-03-09T17:02:26.0000000Z","no"
"36","release-1.11.0","1.11.0","2021-10-27","2021-10-20T11:19:17.0000000Z","no"
"37","release-1.11.1","1.11.1","2022-07-31","2022-07-26T19:26:24.0000000Z","no"
"38","release-1.11.2","1.11.2","2023-07-03","2023-06-26T08:00:47.0000000Z","no"
"39","release-1.11.3","1.11.3","2023-09-22","2023-09-15T16:33:02.0000000Z","no"
"40","release-1.12.0","1.12.0","2024-08-05","2024-07-25T19:52:42.0000000Z","no"
"41","release-1.11.4","1.11.4","2024-09-27","2024-08-19T10:54:27.0000000Z","no"
"42","release-1.12.1","1.12.1","2025-10-15","2025-09-05T07:25:14.0000000Z","no"
"43","release-1.11.5","1.11.5","2025-10-15","2025-09-11T08:02:09.0000000Z","no"
