Project,Path,Method,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,Touches,prevCodeSmells,prevBuggy,Buggy
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java/,"public int getReplicaIndex(long entryId, int bookieIndex)",release-4.0.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java/,"public ScanCallback getCallback()",release-4.0.0,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java/,"protected void setSubscriber(HedwigSubscriber sub)",release-4.0.0,3,2,1,0,1,1,1,1,2.0,2.0,2.0,0.5,1.0,0,0,1,0,0,0,1,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java/,"public void operationComplete(int rc, Void result)",release-4.0.0,8,6,2,1,1,6,1,10,7.0,11.0,30.880904142633646,0.8333333333333334,25.73408678552804,1,0,1,1,0,0,9,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java/,"public long getEntryId()",release-4.0.0,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/,"public int write(ByteBuffer src, long position) throws IOException",release-4.0.0,5,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java/,"public byte[] getEntry()",release-4.0.0,16,9,1,0,0,9,0,11,9.0,11.0,34.86917501586544,0.0,0.0,0,0,0,1,0,0,3,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"public Builder setStopDeliveryRequest(org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest value)",release-4.0.0,8,7,2,1,2,4,3,6,6.0,9.0,23.264662506490403,1.5,34.89699375973561,1,0,1,1,0,0,2,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java/,"public void persistMessage(PersistRequest request)",release-4.0.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java/,"public ClientConfiguration getConfiguration()",release-4.0.0,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,5,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java/,"public synchronized long getAvgLatency()",release-4.0.0,5,4,2,1,2,3,2,5,5.0,7.0,16.253496664211536,1.6666666666666667,27.089161107019226,1,0,1,0,0,0,1,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java/,"public void operationFinished(Object ctx, MessageSeqId resultOfOperation)",release-4.0.0,40,17,3,2,3,36,3,50,39.0,53.0,280.1263175996992,2.083333333333333,583.5964949993732,1,0,1,1,0,0,3,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java/,"public void removeChannelForTopic(TopicSubscriber topic)",release-4.0.0,3,2,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,1,1,0,0,4,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/,"public void operationFinished(Object ctx, Long resultOfOperation)",release-4.0.0,7,4,2,1,1,10,1,11,11.0,12.0,41.51317942364757,0.55,22.832248683006167,1,0,1,1,0,0,4,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java/,"public boolean isSSLEnabled()",release-4.0.0,4,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,1,0,0,2,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java/,"private void subUnsub(ByteString topic, ByteString subscriberId, OperationType operationType, CreateOrAttach createOrAttach) throws CouldNotConnectException, ClientAlreadySubscribedException, ClientNotSubscribedException, ServiceDownException",release-4.0.0,48,32,9,8,3,26,11,58,29.0,69.0,335.2006886638025,3.3461538461538463,1121.6330736058007,6,0,1,1,0,2,4,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/,"public void unsubscribe(ByteString topic, ByteString subscriberId, Callback<Void> callback, Object ctx)",release-4.0.0,4,2,1,0,0,6,0,7,6.0,7.0,18.094737505048094,0.0,0.0,0,0,1,1,0,0,4,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/," synchronized void setLastLogMark(long logId, long logPosition)",release-4.0.0,4,3,1,0,1,4,2,4,5.0,6.0,13.931568569324174,0.5,6.965784284662087,0,0,1,0,0,0,14,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java/,"public void loadConf(URL confURL) throws ConfigurationException",release-4.0.0,4,3,1,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java/,"public PubSubData getOrigSubData()",release-4.0.0,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,6,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"private org.apache.hedwig.protocol.PubSubProtocol.LedgerRange buildParsed() throws com.google.protobuf.InvalidProtocolBufferException",release-4.0.0,8,5,2,1,1,5,1,5,6.0,6.0,15.509775004326936,0.5,7.754887502163468,1,0,1,1,0,0,2,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"public final com.google.protobuf.Descriptors.EnumValueDescriptor getValueDescriptor()",release-4.0.0,4,2,1,0,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,1,1,0,0,2,0,no,yes
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java/,"public String getHostname()",release-4.0.0,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,no,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"public Builder setMessage(org.apache.hedwig.protocol.PubSubProtocol.Message.Builder builderForValue)",release-4.0.0,5,4,1,0,1,4,2,5,5.0,7.0,16.253496664211536,0.625,10.15843541513221,0,0,1,1,0,0,2,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"public static org.apache.hedwig.protocol.PubSubProtocol.PublishRequest parseFrom(java.io.InputStream input) throws java.io.IOException",release-4.0.0,4,2,1,0,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,1,1,0,0,2,0,no,yes
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java/,"private void retrySubscribeRequest()",release-4.0.0,11,4,2,1,0,6,0,8,6.0,8.0,20.67970000576925,0.0,0.0,1,0,1,1,0,0,4,0,no,no
