Project,Path,Method,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,Touches,prevCodeSmells,prevBuggy,Buggy
avro,/src/java/org/apache/avro/specific/SpecificData.java/,"protected boolean isRecord(Object datum)",release-1.1.0,4,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/generic/GenericContainer.java/," Schema getSchema()",release-1.1.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/specific/SpecificData.java/,"protected Schema getRecordSchema(Object record)",release-1.1.0,4,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/specific/SpecificData.java/,"public int compare(Object o1, Object o2, Schema s)",release-1.1.0,22,16,8,4,4,23,6,44,27.0,50.0,237.74437510817344,3.8260869565217392,909.6306525877941,3,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/specific/SpecificData.java/,"public static SpecificData get()",release-1.1.0,1,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/specific/SpecificData.java/,"protected boolean isRecord(Object datum)",release-1.2.0,4,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/specific/SpecificData.java/,"protected Schema createSchema(java.lang.reflect.Type type, Map<String, Schema> names)",release-1.2.0,22,20,4,3,2,14,2,28,16.0,30.0,120.0,2.0,240.0,2,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/generic/GenericContainer.java/," Schema getSchema()",release-1.2.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/specific/SpecificData.java/,"protected Schema getRecordSchema(Object record)",release-1.2.0,4,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,no,no
avro,/src/java/org/apache/avro/specific/SpecificData.java/,"public int compare(Object o1, Object o2, Schema s)",release-1.2.0,22,16,8,4,4,23,6,44,27.0,50.0,237.74437510817344,3.8260869565217392,909.6306525877941,3,0,0,0,0,0,1,0,no,no
