Project,Path,Method,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,Touches,prevCodeSmells,prevBuggy,Buggy
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/ClientAuthProvider.java/," void init(GenericCallback<AuthMessage> cb)",release-4.4.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/AuthHandler.java/,"private boolean checkAuthPlugin(AuthMessage am, final Channel src)",release-4.4.0,10,6,2,1,3,12,4,17,15.0,21.0,82.0447025077789,2.125,174.34499282903016,1,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthProviderFactoryFactory.java/,"public void process(AuthMessage m, GenericCallback<AuthMessage> cb)",release-4.4.0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/AuthHandler.java/," long newTxnId()",release-4.4.0,3,2,1,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/BookieAuthProvider.java/," String getPluginName()",release-4.4.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/ClientAuthProvider.java/," void init(ClientConfiguration conf, ExtensionRegistry registry) throws IOException",release-4.4.0,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/AuthHandler.java/,"public void operationComplete(int rc, AuthMessage newam)",release-4.4.0,18,8,2,1,1,18,1,24,19.0,25.0,106.19818783608963,0.6666666666666666,70.79879189072642,1,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/AuthHandler.java/,"public void writeRequested(ChannelHandlerContext ctx, MessageEvent e) throws Exception",release-4.4.0,19,14,4,3,1,11,1,18,12.0,19.0,68.11428751370197,0.8181818181818182,55.72987160211979,3,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthProviderFactoryFactory.java/,"public ClientAuthProvider newProvider(InetSocketAddress addr, GenericCallback<Void> completeCb)",release-4.4.0,9,5,1,0,0,4,0,4,4.0,4.0,8.0,0.0,0.0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/AuthProviderFactoryFactory.java/,"public void init(GenericCallback<AuthMessage> cb)",release-4.4.0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,no,yes
